Performance Date,Return,Status,Fund Long Name
2015-06-30,-0.00593864,Final,HFRI ED: Merger Arbitrage Index
2015-05-31,0.00980385,Final,HFRI ED: Merger Arbitrage Index
2015-04-30,0.0056548,Final,HFRI ED: Merger Arbitrage Index
2015-03-31,0.003483132,Final,HFRI ED: Merger Arbitrage Index
2015-02-28,0.01416466,Final,HFRI ED: Merger Arbitrage Index
2015-01-31,0.0034197271,Final,HFRI ED: Merger Arbitrage Index
2014-12-31,0.0036713375,Final,HFRI ED: Merger Arbitrage Index
2014-11-30,0.0097325385,Final,HFRI ED: Merger Arbitrage Index
2014-10-31,-0.0134106923,Final,HFRI ED: Merger Arbitrage Index
2014-09-30,-0.0038459189,Final,HFRI ED: Merger Arbitrage Index
2014-08-31,0.0045062192,Final,HFRI ED: Merger Arbitrage Index
2014-07-31,-0.002761208,Final,HFRI ED: Merger Arbitrage Index
2014-06-30,0.0085622654,Final,HFRI ED: Merger Arbitrage Index
2014-05-31,0.0050077958,Final,HFRI ED: Merger Arbitrage Index
2014-04-30,-0.0009930708,Final,HFRI ED: Merger Arbitrage Index
2014-03-31,-0.003364878,Final,HFRI ED: Merger Arbitrage Index
2014-02-28,0.0096387642,Final,HFRI ED: Merger Arbitrage Index
2014-01-31,0.0002995796,Final,HFRI ED: Merger Arbitrage Index
2013-12-31,0.005784,Final,HFRI ED: Merger Arbitrage Index
2013-11-30,0.00281604,Final,HFRI ED: Merger Arbitrage Index
2013-10-31,0.0052706667,Final,HFRI ED: Merger Arbitrage Index
2013-09-30,0.0081224167,Final,HFRI ED: Merger Arbitrage Index
2013-08-31,-0.0001881667,Final,HFRI ED: Merger Arbitrage Index
2013-07-31,0.0095641667,Final,HFRI ED: Merger Arbitrage Index
2013-06-30,-0.0029183333,Final,HFRI ED: Merger Arbitrage Index
2013-05-31,0.0058485417,Final,HFRI ED: Merger Arbitrage Index
2013-04-30,0.0038701429,Final,HFRI ED: Merger Arbitrage Index
2013-03-31,0.0067817368,Final,HFRI ED: Merger Arbitrage Index
2013-02-28,0.0032227895,Final,HFRI ED: Merger Arbitrage Index
2013-01-31,-0.0017044,Final,HFRI ED: Merger Arbitrage Index
2012-12-31,0.0108672,Final,HFRI ED: Merger Arbitrage Index
2012-11-30,0.0071047,Final,HFRI ED: Merger Arbitrage Index
2012-10-31,-0.0071348598,Final,HFRI ED: Merger Arbitrage Index
2012-09-30,0.0009904308,Final,HFRI ED: Merger Arbitrage Index
2012-08-31,0.0041424606,Final,HFRI ED: Merger Arbitrage Index
